# ztsc vs tsgo performance matrix -- generated by bench/matrix.sh, do not hand-edit
# measured_utc	2026-08-10T18:02:39Z
# ztsc_commit	1c0ec4d
# ztsc_tree	clean
# ztsc_binary	/var/folders/_p/yggnz0zd6fd35b9dw9p92ylc0000gn/T//ztsc-matrix-54165/out/bench/ztsc
# tsgo_version	Version 7.0.2
# tsgo_binary	bench/baselines/tsgo/node_modules/@typescript/typescript-darwin-arm64/lib/tsc
# host	Darwin 25.6.0 arm64 / Apple M4 / 10 cores
# lib_runs	9
# app_runs	5
# checkers	1 2 4 8
# timer_floor_ms	1.65
# targets_measured	12
# targets_skipped	1 (vscode)
# total_run_seconds	4228.9
# bars	wall <= 50% of tsgo, peak_rss <= 20% of tsgo
class	key	label	project	parity	tool	checkers	runs	wall_s_median	wall_s_min	wall_s_max	rss_bytes_median	rss_bytes_max	wall_pct_of_tsgo	rss_pct_of_tsgo	exit_code
app	immich	immich	bench/apps/immich/server/tsconfig.bench.json	gated	ztsc	1	5	1.715335	1.686501	1.744504	273661952	273907712	47.7	11.9	0
app	immich	immich	bench/apps/immich/server/tsconfig.bench.json	gated	ztsc	2	5	1.497535	1.465965	1.514862	380108800	380764160	41.6	16.5	0
app	immich	immich	bench/apps/immich/server/tsconfig.bench.json	gated	ztsc	4	5	1.754451	1.687239	1.773622	550420480	554500096	48.7	23.9	0
app	immich	immich	bench/apps/immich/server/tsconfig.bench.json	gated	ztsc	8	5	1.983064	1.931408	2.035594	880263168	884948992	55.1	38.3	0
app	immich	immich	bench/apps/immich/server/tsconfig.bench.json	gated	tsgo	-	5	3.599056	3.487183	3.693105	2298462208	2465251328	100.0	100.0	0
app	outline	outline	bench/apps/outline/tsconfig.bench.json	staged	ztsc	1	5	224.134118	222.025786	302.121303	8938487808	8939094016	3161.9	293.3	1
app	outline	outline	bench/apps/outline/tsconfig.bench.json	staged	ztsc	2	5	195.704698	186.957333	287.166072	8800026624	8800796672	2760.8	288.8	1
app	outline	outline	bench/apps/outline/tsconfig.bench.json	staged	ztsc	4	5	148.017240	139.997838	257.620060	7774109696	7775191040	2088.1	255.1	1
app	outline	outline	bench/apps/outline/tsconfig.bench.json	staged	ztsc	8	5	85.625058	83.313227	125.868572	5803212800	5903269888	1207.9	190.4	1
app	outline	outline	bench/apps/outline/tsconfig.bench.json	staged	tsgo	-	5	7.088653	6.925065	7.350295	3047407616	3077980160	100.0	100.0	1
app	social-app	social-app	bench/apps/social-app/tsconfig.check.json	staged	ztsc	1	5	3.553863	3.077629	4.941814	492814336	493142016	129.1	26.5	1
app	social-app	social-app	bench/apps/social-app/tsconfig.check.json	staged	ztsc	2	5	3.494007	3.090115	6.625342	849510400	870334464	126.9	45.6	1
app	social-app	social-app	bench/apps/social-app/tsconfig.check.json	staged	ztsc	4	5	4.482453	3.821070	7.666652	1353957376	1363050496	162.9	72.7	1
app	social-app	social-app	bench/apps/social-app/tsconfig.check.json	staged	ztsc	8	5	5.565112	4.945977	7.886223	2385199104	2415362048	202.2	128.1	1
app	social-app	social-app	bench/apps/social-app/tsconfig.check.json	staged	tsgo	-	5	2.752317	2.475886	4.019418	1861697536	1890074624	100.0	100.0	0
